marit		marry
ri	Verb	?
rib	Determiner	adjz
laik	Noun	desire
mumragar	Noun	face
aŋ	Verb	2sg.ipst,2sg
kupu		inside
rekodim		record
twitwi	Noun	bird.sp
yambar	Noun	story
kɨb	Noun	road
kwiriŋ	Noun	back
brou	Noun	frog
sagɨ	Noun	fight
aragur	Noun	riverbank
taŋɨr umbaŋ	Noun	tree.sp
ogi	Verb	3pl.ds
ika		father.1.poss
wanbel	Noun	unity
kɨtɨŋ		far
kwi	Adverb	back
meŋ	Noun	shoulder
tu	Verb	burn
nɨrɨb	Pronoun	3pl.emph
dua	Noun	door
w	Verb	go
Joachim	ProperNoun	Joachim
kobey	Verb	cook
renona	Noun	landowner
kare	Noun	betelnut
arame	Noun	tree.sp
megwar	Noun	bowstring
ayo	Noun	plant.sp
anɨgunuŋ	Pronoun	1pl.obj
i	Verb	get
pɨtɨ		wet
skul	Noun	school
kr	Verb	cook
agɨr	Noun	arrow
na	Determiner	nd
gekɨm	Noun	bug.sp
sakum	Noun	nape
tok	Noun	speech
at	Noun	hat
tɨbram	Verb	tie
Amerika	ProperNoun	America
kuk	Noun	kitchen
gwakɨr	Noun	tree.sp
sor	Noun	salt
is	Verb	bite
ram	Verb	do?
tibigi	Verb	spill
muku	Noun	ball
kwar	Noun	garden
mar		half
yabɨ	Pronoun	1sg.emph
kupuŋ	Noun	lime,dust
urunda		good
katig birou	Noun	snake.sp
mak	Verb	pick
ino	Particle	neg
abi	Noun	woman
mɨŋimbr	Verb	ruin
tub	Noun	tree.sp
abi kuŋar		girl
urua	Noun	pumpkin
arkem	Noun	k.o.knife
kɨbar	Noun	eel
kenɨ	Noun	elbow
pɨsɨ	Noun	smoke
stap	Verb	stay
beraŋ	Verb	2sg.fut
koyeb	Noun	bird.sp
kome	Noun	tree.sp
gunu	Adjective	dry
warinda		crooked
Takwar	ProperNoun	Takwar
kiŋakuŋ	Noun	wildfowl
yet	Particle	emph
tatar		bottom
sabar	Noun	yam
kram	Verb	burn
soŋ	Noun	arrow
kɨbur		cold
masna	Noun	friend
pulim		pull
mari		cousin
tɨbɨgi	Verb	pour.out
ibɨ	Noun	yam
greŋ		dry,black
uru	Noun	house
kwe	Particle	quot
ikakai	Verb	follow
gutpela	Adjective	good
igon	Verb	feed
peroŋberoŋ	Noun	bird.sp
Antonia	ProperNoun	Antonia
gariŋ	Noun	possum
kumu	Noun	stomach
kɨp	Verb	get.up
andu	Pronoun	1pl.poss
keŋɨm	Noun	worm.sp
isam		brother.1.poss
takw	Verb	cut,buy
Bege	ProperNoun	Bege
segwar	Verb	shoot
nagur	Noun	mosquito
mɨtat	Verb	leave
taŋɨr	Noun	fish.sp
stroŋim		strengthen
girum	Noun	eggshell
mogir		a.few.days.ago
kukum	Noun	bird.sp
ib	Noun	name
aŋɨrara		dream
kapr	Verb	throw
kobyaŋ	Noun	bamboo.sp
nɨrɨ	Pronoun	3pl
karo	Noun	tree.sp
kyaŋɨ	Noun	fish
gigira	Noun	corn
setim		set
beber	Noun	shoulderblade
sekir		3.days.after.today
sope	Verb	finish.ss
sisik	Noun	itch
mɨri	Verb	marry
korɨm	Noun	tree.sp
mɨŋat	Verb	get
amaŋ	Noun	seed
Dise	ProperNoun	Dise
goreg	Noun	tree.sp
prabsapu		again
nenaŋ	Noun	children
Utu	ProperNoun	Utu
ofis	Noun	office
pe	Noun	middle
rak		brother
sumuri	Verb	smell
o	Particle	or
unusi	Verb	bury
ubia	Noun	morning.star
sukur	Noun	intestine
mumu	Noun	nose,sharp
taun	Noun	town
murub	Noun	possum
kur	Verb	3sg.imp
ya	Interjection	here
due	Noun	grass.sp
makɨkob	Noun	ant.sp
tyag	Noun	tree.sp
dane	Noun	taro
maket	Noun	market
mateb	Verb	paddle
anoŋ	Noun	egg,baby
aŋ̃em	Noun	bug
kwait	Verb	return
maksaŋ	Noun	tree.sp
am	Verb	2sg.imp
ninar	Verb	perform
tar	Noun	tree
lain	Noun	group
ib	Determiner	advz
ware	Noun	mountain
sinoŋ	Noun	basket
yogr	Verb	complete
bɨniŋ	Postposition	near
Areic	ProperNoun	RH
aŋandam	Verb	hear
niaŋ	Noun	fruit
Simon	ProperNoun	Simon
kai	Noun	sugar
ku	Determiner	nom
iseŋke	Noun	snake.sp
kisag	Noun	ear
waik		come!
kubyaŋ	Noun	sweet.potato
nabɨ	Pronoun	2sg.emph
korɨmgorɨm	Noun	tree.sp
tuk	Verb	exhale,scrape,burn
gɨbam	Noun	ant.sp
agwi	Noun	fish.sp
ɨnda	Verb	2sg.ds
kur	Adverb	just
urakɨr	Adverb	night
mondɨŋ	Noun	k.o.stone
mɨk	Verb	peel
itu	Verb	pull
haus	Noun	house
gamɨgi	Noun	reed.sp
Moroni	ProperNoun	Moroni
yaŋgr	Verb	gather
iruŋsuriŋ	Noun	bird.sp
kɨtɨ	Verb	stay.ss
uh	Interjection	uh
tib	Noun	presence
kondɨ	Adverb	morning
aŋgɨn	Verb	sleep
aba	Particle	quot
mɨkɨr	Noun	drum,tree.sp
kwi	Noun	back
kastam	Noun	tradition
kar	Noun	car
kamaŋ	Noun	party
imoŋ	Noun	fish.sp
ageg	Noun	bird.sp
sɨgɨ	Noun	cockroach
sokou	Noun	bird.sp
morɨ	Noun	reed.sp
kogr	Verb	roast
umbaŋ	Noun	liver
ambro	Adverb	poorly
isɨŋ	Noun	air
sɨkr	Verb	pull
nug		deep
klen	Noun	clan
wayaŋ	Noun	sun
Kristina	ProperNoun	Christina
aŋ gyou	Noun	snake.sp
mukum		no.fire
koge	Noun	knee
sagwi	Noun	tongue
yambo	Noun	tree.sp
ituitu	Adverb	pulling
motig	Noun	other.side
Japan	ProperNoun	Japan
kubrotar	Noun	tree.sp
be	Particle	q
tirim		distribute
mobi		dirty
bigur		unripe
naŋgari	Adverb	now
we	Verb	come.ss
yakub		sorry
tasol	Particle	but
mɨke	Noun	bandicoot
gome	Noun	tree.sp
tokples	Noun	language
un	Verb	dig
maski	Adverb	nevermind
iro	Noun	hand.drum
arama	Interjection	nevermind
tiŋim		think
ŋ		yes
isapame	Verb	bite
awaŋgi	Noun	shrub.sp
atam	Adverb	alone
gir	Noun	time
tamɨ	Noun	eye
kr	Verb	walk
mabɨŋ		no
sore	Noun	bird.sp
kyag	Noun	tree.sp
aŋgeŋ	Noun	leg
mare soŋgrɨm	Noun	fish.sp
ambɨŋ	Noun	wing
apɨrapɨr	Noun	bee.sp
sigir	Noun	rind
Tekses	ProperNoun	Texas
umandum	Noun	giant
bes		base
Don	ProperNoun	Don
mai	Noun	friend
panpan	Noun	tree.sp,bat.sp
kabi		wife
merund	Verb	forget
tembr	Verb	turn
pɨnɨ	Noun	palm.sp
berɨ	Noun	firelight
Musak	ProperNoun	Musak,Musak.clan
seŋɨ	Noun	cultivated.pandanus
kɨnam	Noun	bottom
aŋ guraŋgi	Noun	snake.sp
kim	Noun	bow
sori		sorry
kriŋ	Postposition	li
maŋgima		many
gesa	Noun	mango
birou	Noun	snake.sp
baya	Noun	bamboo.sp
ukur	Noun	fish.sp
tage	Noun	shrub.sp
akrab	Noun	middle.of.road
makim		become
mɨŋapam	Verb	hold
ukre	Verb	blow
yame	Noun	crocodile
Jansen	ProperNoun	Junction
ayo	Interjection	oh
ese	Interjection	that's.right
sig	Noun	pot
yota	Interjection	yes
s	Verb	fpst
maŋ	Noun	banana
ket	Verb	2pl.imp
kya	Noun	song
tubu tukare	Verb	push.and.roll
wa	Verb	come
arɨ	Noun	hair
imbr	Verb	spoil
gumu		done?
mo	Quantifier	spec
stret	Adverb	exactly
amekam	Noun	lastborn
metam		high
ber	Verb	3sg.fut
makɨ	Noun	anger
ketab	Adverb	around
tagur	Verb	care.for,wait.for
Aba	ProperNoun	Aba
aŋgoŋ	Noun	hook
gor	Adjective	dear
itam	Verb	transport
bɨgri	Noun	stomach
kɨtɨ	Particle	and
ambɨt	Verb	be.sleepy
murumuru	Noun	shadow
tam	Verb	put
apapara	Noun	butterfly
beŋ	Noun	tree.sp
tumbuna	Noun	ancestor
tɨmbre	Verb	look
yagim	Noun	fish.sp
imbare	Noun	liar
agi	Interjection	alright
koye	Noun	tree.sp
las		last
kɨmɨŋ	Adverb	later
gagam	Noun	sweat
bib	Noun	fence
kampani	Noun	company
kɨr	Noun	body
o	Verb	2sg.imp
tɨk	Verb	take
Lesly	ProperNoun	Lesly
iksat		
pabra	Quantifier	one
de	Noun	day
mekoŋ	Noun	brains
kamapim		create
tokpisin	ProperNoun	Tok.Pisin
kando	Noun	fish.sp
am	Verb	do
aŋ doŋ	Noun	bandicoot.sp
poroman	Noun	friend
ma	Particle	neg
Medeŋ	ProperNoun	Madang
mɨŋmekar	Verb	turn.around
bar	Verb	3sg.ctrf
tokar	Verb	wash
taram	Noun	thigh
sabɨ	Noun	pig
gugur		4.days.after.today
Inaŋ	ProperNoun	Inaŋ
banɨ	Noun	spear
muŋgubr	Verb	break
gokɨr	Noun	bug.sp
go	Particle	?
yow	Verb	hit
iskat	Verb	leave
mɨŋ		tasty
ameki	Noun	lastborn
katiŋ	Postposition	li
peto		short
kɨsɨr	Noun	finger,seed
soŋgo	Noun	ant.sp
kinɨ kwatiŋ kwatiŋ	Noun	bug.sp
traim		try
sinami	Verb	smell
tugo	Noun	fish.sp
naŋ	Pronoun	2sg.obj
kɨsɨkɨ	Noun	meat
gigib	Noun	armpit
tum	Noun	stick
sab	Noun	work
meko	Noun	shrub.sp
waŋɨ	Noun	bag
kauntim		count
ab sɨkɨ		firewood
ipr	Verb	hide
katim		cut
ik	Verb	chop,cry
panda	Adverb	alone
dugum	Noun	forest
bɨni	Adverb	almost
dawaŋ	Noun	tree.sp
ab		temp
per	Verb	shine
pum	Noun	heavy
yarɨm	Noun	wallaby
mokɨr	Noun	whiteness
kroŋkroŋ	Noun	owl
piŋ	Noun	cheekbone
hatwara	Noun	hot.water
yosar	Verb	laugh
tendɨ	Noun	star,firefly
ab	Verb	talk
guŋ		thunder
sugu	Noun	cheek
korapsen	Noun	corruption
sanɨ	Noun	pig
yar	Noun	year
Kema	ProperNoun	firstborn
nabe		daughter.il
siksik	Noun	bird.sp
stat		start
noŋgut	Particle	lest
ŋ	Postposition	acc
kyarɨ	Noun	chicken
kasɨr	Noun	bamboo.sp
kar		sick
pinis	Adverb	finish,comp
eg	Verb	3sg.ds.frust
mesɨŋ	Noun	tree.sp
vilej kot	Noun	village.court
ram		aunt
gɨbiŋ	Adverb	still
goregbagusa	Noun	liver
kɨprɨŋ	Noun	bird.sp
magw	Verb	scatter
denɨ	Noun	toy.arrow
pes		first
niŋgikum		female
dɨgr	Verb	fall,remove
eg		?
Kuyab	ProperNoun	Sogeram
ayakayak	Noun	stuff
aboŋgapɨ	Noun	bird.sp
kareb	Noun	flying.fox
kinɨ	Noun	axe
igo	Particle	and.so.on
konɨ	Noun	hugeness
sinam	Noun	tree.sp
igam	Noun	blood
Maiker	ProperNoun	Michael
tuar	Verb	chop,say
og	Verb	3pl.ds.frust
komaŋ	Noun	branch
Tobias	ProperNoun	Tobias
kumbuke	Noun	cassowary
kɨrɨr	Noun	root
mɨrɨndandam	Noun	bug.sp
kikur	Noun	snake.sp
gor	Noun	cluster
ambɨ	Pronoun	1pl.emph
olgeta		all
kɨrɨra	Noun	arrow
ambɨr	Noun	bed
na	Pronoun	2sg
gir	Noun	ant
kamam	Noun	skirt
nuki	Verb	swallow
inventri	Noun	inventory
mɨneg	Adverb	after
be		nmlz
takɨ	Noun	vulva
gɨndɨ	Noun	noise
ti	Noun	tea
ra	Postposition	com
dogr	Verb	break
ta	Verb	ss.delay
urur	Noun	hole
tenpla		ten
itɨ	Verb	get.ss
dog	Verb	approach
histeri	Noun	history
paku	Noun	tree.sp
gwande	Noun	stone,money
Banam	ProperNoun	Banam
agrenda	Quantifier	two
krin		clear
yambar	Noun	snot
kuriŋ	Noun	calf
dager kapɨkapɨ	Noun	bird.sp
kosɨŋ	Noun	tree.sp
tɨŋ	Noun	news
bagɨr	Noun	side
tog	Verb	step.on
gɨgɨr		time
Yosep	ProperNoun	Joseph
Tabubir	ProperNoun	Tabubil
gabɨ	Noun	hornbill
kawaŋ	Noun	coconut
tipi	Verb	cock
igotar	Noun	tree.sp
mapɨŋ	Noun	sorrow
ayak	Noun	what
gɨnɨŋ	Postposition	gen
taim	Noun	time
miragar	Noun	face
mɨntag	Verb	take.out
uram	Verb	wash
sɨkɨ	Noun,Adjective	piece.of.wood,dry
kemɨkareb	Noun	tree.sp
meb	Postposition	like
tapɨrb	Verb	peel
agreŋ		two
kawob	Noun	tree.sp
gakuŋ		there
dɨkɨŋ	Noun	bird.sp
buŋ		meet
umiŋgɨgɨr	Adverb	afternoon
Albet	ProperNoun	Albert
kag		None
apɨr gyou	Noun	snake.sp
natɨ	Noun	crayfish
tubuimbɨre	Verb	push
dɨgam	Noun	tree.sp
akab		very
so	Particle	so
kɨŋ	Determiner	pauc
matɨm	Noun	mud
i	Verb	ss
maŋgi	Adjective	small
nogat	Interjection	no
mɨr	Noun	sap
anir		day.after.tomorrow
mɨŋe	Verb	answer
maripaŋ	Noun	k.o.arrow
korir	Noun	bird.sp
tr	Verb	fear
sɨrɨ	Noun	fat
naŋ	Noun	son
kum	Verb	die
yarɨm papayes		wallaby
kemaŋga	Noun	firstborn
ar	Verb	2pl.ipst,2pl
aŋ kuramba	Noun	bird.sp
pɨr	Noun	trunk
ikoŋ		uncle
kopr	Verb	run
Kris	ProperNoun	Chris
dibeg	Noun	shade
maŋgi	Noun	boy
manɨnɨŋ ke	Noun	tree.sp
leta	Noun	letter
kyagori		clean
sakre	Verb	look.after
kuru	Noun	man
mɨskat	Verb	leave
umuŋ	Noun	raincloud
pas	Noun	letter,closed
kogɨ		yellow
saŋɨr	Noun	centipede
niŋ	Determiner	loc
motab		some
kokr	Verb	swell.up
gunari	Noun	bird.sp
kaim	Noun	knife
noraŋ	Noun	children
pare	Verb	lie
muyaŋ		cassowary.call
sugum	Noun	tree.sp
re		prag
wanwik	Adverb	one.week
egi	Verb	3sg.ds
kaw	Verb	carry
aniriŋ		day.before.yesterday
kikiniŋ	Noun	jaw
umɨŋ		dark
irɨna	Noun	moon
