ma	Verb	mpst
kreŋɨd	Noun	vehicle
yak	Pronoun	1sg.obj
mu	Noun	taro
ni		
sapar	Noun	blood
awɨn	Noun	meat
aduwan	Noun	possum
yorwara	Verb	move
sij	Noun	taro
nɨ		3.poss
korañi korañi pakaraŋ	Adjective	five
yɨb	Adverb	very
urod	Noun	path
tɨpra	Verb	cut
kɨnaŋ	Noun	plate
ma	Particle	neg
au kɨñɨŋ	Noun	armpit
ade	Particle	foc,and,cop
se	Noun	place
beda	Adverb	how
makasɨpe	Noun	chin
poraŋ	Noun	intestines
paipai	Noun	papaya
takai	Noun	dust
kɨdɨmɨn	Noun	betel.vine
duŋ	Noun	3.poss
tago	Verb	step,put.on
esaya	Noun	sole
aba	Verb	speak
toŋ	Noun	debris
sad		there
kɨdi	Noun	root
koŋar	Adjective	older
mam		brother
emɨdeŋ	Adverb	later
awaya	Verb	laugh
ebɨŋej	Noun	fingernail
pɨka	Adverb	very
mɨrɨp	Adjective	dry
ipo	Verb	go.in
ekaro	Verb	cut
gupi	Noun	growth
eruk		not.want
kɨn		
eripoi	Noun	week
kebrami	Noun	brain
ta	Verb	do
pɨgap	Noun	bean
kɨdɨŋ	Postposition	gen
ika	Verb	cry
tɨpa	Verb	fear
mugum	Adjective	short
sɨrɨñ	Noun	mosquito
aiduŋ	Pronoun	1pl.poss
sɨkasɨka	Noun	debris
pɨnɨm	Noun	wind
eja	Adjective	old
pɨd	Noun	yam
poj	Noun	loincloth
kɨp		up
kowe	Adjective	old
kɨñak	Noun	paint
kiyaŋ	Noun	noise
dek	Verb	3pl
dɨk	Verb	3sg
beŋ	Noun	relative
au	Noun	wing
waij	Noun	loincloth
yuwam		steal
marepa	Verb	tear,take.off
niba	Pronoun	3pl.emph
kuya	Verb	plant,shoot
aŋai	Noun	day
ña	Verb	eat
kobri	Noun	cassowary
ñɨpi	Adverb	hiding
esaŋ	Noun	shoulder,ten
ipa	Verb	get.up
mogam		forget
tɨga	Verb	scatter
ɨnaba	Verb	neg.desid
sosai		lie
kojɨŋ	Noun	whistle
makawɨj,makawij	Noun	mouth
kesɨm	Noun	story
ei	Interjection	hey
ra	Determiner	as
taki	Adjective	cold
bopɨr	Noun	kunai
tubraŋa	Adjective	all
akro	Verb	carry
ñɨŋe	Noun,Adjective	small,baby
i	Interjection	aah
nɨŋ	Verb	1sg,1sg,1sg
nɨmɨnam	Adjective	many
pipi	Verb	pull
okei	Interjection	okay
urpi	Noun	path
koipi	Determiner	there
kenakenaŋ		
kebra	Noun	cap,head
koipa	Adjective	big
kopara	Verb	jump
mi	Noun	thought,rest
arɨparɨp	Adjective	straight
nik		
m	Verb	handle
kakiya	Verb	hold.tight
korɨŋ	Noun	bottom
mapa	Verb	dig
pup		tie.around
opre	Noun	dog
tabɨŋ	Noun	bandicoot
asɨmɨna	Pronoun	what
tewa	Verb	pick
kaimi	Noun	rat
yug	Noun	smoke
kɨda	Verb	walk
okra	Verb	look.for
popaka	Adjective	bad
koro	Determiner	few
tun	Noun	bundle
aŋa	Verb	go
tadam kub	Noun	thigh.bone
tudago	Verb	carry
mɨjawai	Noun	spirit
añi	Pronoun	du
podoi	Noun	mourning.house
ɨrɨŋ	Verb	1sg.ds.irr,1sg.opt
kupiya	Verb	bake
ebmañ	Noun	finger
kar	Noun	stick
gapa	Noun	star
gawera	Adverb	upwards
pari	Noun	bone
gako	Adverb	upwards
nod	Adjective	green
oraŋ	Adjective	long
ñapñap	Noun	sorcerer
mɨnek	Adverb	morning,always
nagi	Noun	basket
torgara	Verb	wear
guneŋ	Noun	morning.star
bor	Adjective	roll
maka	Verb	clean
tora	Verb	gather
mɨga	Verb	come.down,sleep
po kɨñɨŋ	Noun	butt
i	Verb	pl,pl
wara	Verb	move
raŋa	Postposition	char
krɨb	Noun	skirt
koimo	Determiner	spec
arɨŋ	Noun	shin
ke	Determiner	some
kopɨda	Determiner	down.there
añɨgi	Noun	blood
kɨna	Determiner	then
imoka	Noun	in-law
akar ñɨkoŋ	Noun	chin
sɨrɨk	Noun	itch
ɨraŋ	Verb	2pl.ds.irr,2pl.opt
deŋ	Noun	def.pl
moŋ		husband
toyak	Verb	destroy
tɨbɨka	Verb	embrace
igɨn	Noun	wind
gaya		up
goibaŋ	Noun	fly
erwara	Verb	encircle,exceed
kokoda	Determiner	up.there
pap	Noun	uncle
gawan	Noun	young
arɨp		right
kɨrmɨgoi	Determiner	outside
nuksai	Adverb	first
kun		sister
boga	Adverb	big
erkara	Verb	turn
per	Adverb	always
wɨsɨn	Noun	sleep
kɨñɨŋ	Noun	bottom,beginning
takɨr	Noun	cold
nuk	Pronoun	3sg.obj
ik	Verb	3pl.ipst
mɨdai	Noun	heart
sora tamek	Noun	rainbow
sukum	Noun	smoke
adɨko	Determiner	this
gudi	Noun	pandanus
grɨŋ	Noun	growth
kokrV	Verb	swell
pum	Noun	weight
yugum	Noun	plot
mopa	Verb	move.down
kumiya	Noun	sand
gi		be.strong
pɨk	Adjective	red
ye	Interjection	hey
aŋaŋ	Noun	wildfowl
mɨŋa	Verb	get
aiba	Pronoun	1pl.emph
yo	Verb	hit,clean
piks	Adjective	new
bek	Noun	basket
asas	Noun	basket
tuwarepa	Verb	burn.up
og	Noun	neck
kɨs	Adverb	very
koñɨŋ		brother-in-law
rek	Verb	3pl
naŋ	Verb	2sg,2sg,2sg,2sg.ipst,2sg,2sg,2sg
maken	Noun	sago
korañi korañi	Adjective	four
tuwa	Verb	burn
yɨbri	Adverb	very
amor	Adverb	one.day.away
da	Verb	ss
beñ		daughter
kopairaŋ	Determiner	down.there
kri	Noun	spleen
koba	Noun	pandanus
go	Verb	give
dukɨma	Noun	illness
morobe	ProperNoun	Morobe
wɨj	Noun	hair
gorŋa	Noun	spear
pog	Noun	star
añɨr	Adverb	two.days.away
imaŋ		sister
añɨñak	Noun	lightning
mɨro	Verb	break
nadoi	ProperNoun	Nandoy
kogo	Noun	work
kapɨr	Noun	ground
nɨba	Pronoun	3sg.emph
jon	ProperNoun	John
ama	Adverb	after
bag	ProperNoun	Bank
yur	Noun	tobacco
naiba	Pronoun	2pl.emph
mɨj	Adjective	few
majɨm	Noun	bowstring
tɨko	Verb	scrape,sing
ebpari	Noun	arm
ko	Determiner	def
kagamɨgo		lower.head
au kenɨŋ	Noun	armpit
kakɨr	Noun	axe
ebɨjɨŋ	Noun	fingernail
koimaŋ	Noun	coconut
mɨrɨk	Noun	sugar
epra	Verb	buy
waryum	ProperNoun	Walium
ayaka	Verb	come.up
kei	Adjective	separate
añ	Noun	father
sɨpe	Noun	surface
kopai	Determiner	down.there
mɨdɨkom	ProperNoun	Midikom
kar tɨŋre	Noun	stick
kadewak	Noun	skin
opa	Verb	descend
magi	Noun	fruit
pu		uncle
ke	Verb	ds.seq
naiduŋ	Pronoun	2pl.poss
maŋ	Interjection	no
nage	Particle	and
tɨkɨpa	Verb,Adjective	good,good
bɨrmi	Noun	throat
kaka	Verb	bury,encircle
mɨŋ		mother
gon	Noun	trap
marwara	Verb	push
ca	Verb	stay
pa	Adverb	just
yig	Noun	celebration
pɨñ	Noun	end
rotu		worship
aj		arrange,mark
goya	Noun	cassowary
auna,awna	Noun	eye
mɨñmɨñ		happy
korkor		rub.on.self
ŋej	Noun	nail
makamañ	Noun	tooth
maya	Verb	bring
pe	Noun	pig
api	Noun	type
toŋtoŋ	Noun	debris
urod pi	Noun	path
nak	Pronoun	2sg.obj
mi	Noun	sap
p	Verb	imp
aman	Noun	breast
kɨdɨk	Adverb	later
nayu	Pronoun	2pl
ek	Verb	3sg.ipst,3sg
pi	Verb	blow
eb	Noun	hand
krab	Noun	mountain
wak	Noun	skin
es tɨŋre	Noun	leg
asiya	Verb	do.what
opɨr	Noun	frog
awan	Adverb	lightly
ekra	Verb	pour,spill
kowek	Adverb	before
pika	Verb	cut
niduŋ	Pronoun	3pl.poss
sad	Noun	soap
yaŋoŋai	Noun	eel
kamɨr		brother,great-grandfather
nɨmai	Noun	water
ogɨmɨñ	Noun	neck
koipɨda	Determiner	there.far
pakaraŋ	Adjective	one
gogor	ProperNoun	Gogol
kuj		poison
gugu	Noun	buttress.root
aka	Verb	chop
ñiŋe	Noun	baby
yadɨŋ	Pronoun	1sg.poss
jɨnabe	Adjective	dirty
sɨko	Noun	something
tagurama	Verb	stand
kenɨŋ	Noun	inside
aporor	Noun	butterfly
kaduŋ	Noun	k.o.yam
idɨk	Noun	salt
keg		join
bɨjog sɨka	Noun	shoulder.blade
araka	Adverb	noon
mɨne yaka	Adverb	morning
ip	Noun	plate
kɨmna	Noun	thing,food
midi	Verb	ss.delay
rɨŋ	Verb	1sg
ruŋ	Verb	1pl.ipst,1pl,1pl,1pl,1pl,1pl,1pl,1pl.ds.irr,1pl.opt
toi	Adverb	tomorrow
o	Interjection	oh
kɨpam	Noun	bow
aŋoi	Noun	tinea
seŋ		outside
kome	Noun	corner
bɨr	Pronoun	top
kegwan	Noun	ear
sɨbram	Noun	loincloth
kɨrmoŋai	Determiner	more
mɨda	Postposition	com
ebmañ wara	Adjective	five
esbeŋ	Noun	sole
eskub	Noun	calf
mañ	Noun	egg,thing,seed
sɨjeŋ	Noun	greens
ekarepa	Verb	split
pita	ProperNoun	Peter
kopaka esaŋ kokoda	Adjective	ten
ne	Noun	child
ebmañ oraŋ	Adjective	five
aur	Noun	fire
korañi	Adjective	two
re	Verb	3.ds.irr,3.opt
kere	Noun	strength
ake	Interjection	hey
kade	Noun	body
asepiya		what
pɨkrɨk	Adjective	ripe
gopa	Adverb	downwards
saguñ	Noun	rain
mɨja	Noun	loincloth
ebaya	Noun	palm
kuba	Verb	be.full
oŋai	Noun	possum
tama	Verb	put
lei	ProperNoun	Lae
nenode	Noun	girl
m		
kadaŋan	Adverb	thus
yako	Verb	go.up
grɨb	Noun	wallaby
kujipV	Verb	swell
amok	Noun	father-in-law
kɨneb	Noun	house
mapɨn	Noun	liver
brei	Noun	wildfowl
iman	Noun	louse
kuwek	Adverb	long.ago
yaba	Pronoun	1sg.emph
paŋ	Verb	fut,inf
asɨko	Noun	ginger
tapro	Verb	finish
anam	Noun	odor
kopaka	Determiner	along
wɨsɨka	Verb	untie
re	Verb	3sg,3
epriya	Verb	hide
karoga	Verb	jump.over
mera	Verb	leave
kamoren	Noun	cloud
akoro	Verb	cut
kɨñam	Adjective	close
korañi pakaraŋ	Adjective	three
mɨre	Postposition	like
kaneŋ	Noun	group
tapɨn	Adjective	many
kuyara	Verb	sit
sibram	Noun	shrub
amod	Noun	cane
to	Particle	so
re	Verb	ds.sim
tɨki	Verb	fill
aya	Verb	come
pom		bad
arepa	Verb	break
ga	Particle	top
wañɨŋ	Noun	tail
nadɨŋ	Pronoun	2sg.poss
ab		on
sabra	Noun	k.o.yam
yar	Verb	throw
ebarɨp	Noun	right.arm
nekura	Noun	boy
es	Noun	leg
opa	Adverb	enough
aikuram	ProperNoun	Aykuram
kawa	Verb	scratch
kenaj	ProperNoun	Kenanj
mɨrum	Noun	top
koroda	Adverb	other.side
ibe	Noun	name
gaj	ProperNoun	Gants
kra	Determiner	top
ayuk	Pronoun	1pl.obj
pomaka	Adjective	bad
pra	Adverb	very
perper	Adverb	always
kub	Noun	bone
doi		obl
kere	Noun	fish
kanaŋ	Postposition	ben
pibɨŋ	Adverb	afternoon
wara	Noun	house
ya	Pronoun	1sg
ayañi	Pronoun	1du
espari	Noun	leg
kumo	Verb	die
nene	Pronoun	who
baraŋ	Noun	good.person
mɨŋ	Noun	rain
akɨñaŋ	Noun	sweat
tumuk	Noun	thunder
onkona	Adverb	right.now
na	Verb	2sg
oraŋboga	Adjective	long
mɨramɨra	Noun	shadow
meŋra	Verb	vomit
mɨraŋ	Noun	mushroom
na	Pronoun	2sg
pe	Determiner	ctr
wagɨnaŋ		
ogome	Noun	spine
ga	Verb	perceive
ñɨke		grandfather
kɨsɨko	Noun	plate
cem	Noun	aibika
ai	Interjection	ay
kin	Noun	pot
bɨkopi	ProperNoun	Bikopi
ek	Verb	3pl
ya		1.poss
sugup	ProperNoun	Sungup
ekur	Noun	hunger
nayuk	Pronoun	2pl.obj
ñɨñɨb	Adjective	sharp
esɨŋej	Noun	toenail
karaŋ	Noun	headwater
ko	Verb	poop
kapi	Adverb	just
sɨŋor	Noun	sun
koida	Determiner	up.there
aya	Noun	palm, sole
ur	Noun	path
kerma	Adjective	big
ɨna	Verb	2sg.opt,2sg.ds.irr
nesa	Noun	boy
tɨgin	Adjective	black
koŋ	Noun	k.o.taro
piraŋ	Pronoun	all
yowa	Interjection	yes
sapai mɨñ	Noun	vein
mod		during
nu	Pronoun	3sg
maj	Noun	sweet.potato
yaŋa	Noun	water
koipoi	Determiner	there.far
keceki	Noun	spirit
niuk	Pronoun	3pl.obj
arempɨna		
makubra	Verb	take.off
ko mɨgo	Verb	altogether
enɨŋ	Verb	1sg.ipst,1sg,1sg
kaigo	Adjective	white
jɨmjɨm	Noun	door
tin	Noun	pot
jɨb	Noun	root
kripoda	Determiner	then.far
ipi		foster.father
yi	Interjection	what.to.do
iroi	Noun	butt.bone
kobra	Verb	finish
nɨb	Postposition	from
cadaga	Verb	crash
kokarɨp	Verb	be.torn
pog gapa	Noun	star
arma	Verb	bite
yo	Interjection	yes
gɨcɨŋ	Noun	drum
waka	Particle	q
odɨŋ	Adverb	together
tubo	Verb	tie
yoro	Verb	break
toiret	Noun	toilet
yarɨm	Noun	wallaby
mamagra	Verb	pull
ebe		in
noŋ		father
mar	Verb	handle.forcefully
miya	Verb	hold
madaŋ	ProperNoun	Madang
kenakena	Adjective	crooked
bɨkonai	ProperNoun	Bikonay
aban	Noun	shore
ra		in.law
ewa	Noun,Verb	laughter,laugh
esmañ	Noun	toe
eka	Verb	cut
ñuwa	Verb	write
kebrej	Noun	head
ebkome	Noun	elbow
meraŋ	Noun	light
egrV	Verb	utter
a	Interjection	ah
tadam	Noun	thigh
n	Particle	lnk
kɨba	Adjective	long
konɨbej	Noun	chest
maka	Noun	mouth
iwaŋ		steal
mara	Noun	torso
bedak	Noun	kitchen
raŋ	Verb	2pl,2pl,2pl,2pl.ipst,2pl,2pl,2pl,2pl
nep	Noun	sister
ako	Verb	birth,poop
yaŋre	Noun	moon
ibe		look
op	Noun	garden,year
kiya	Noun	speech
krokro	Noun	chicken
rɨke	Particle	so
apɨr	Noun	meat
ramu	ProperNoun	Ramu
gaipo	Adverb	across
dɨŋ	Noun	def.sg
kuñuk	Noun	saliva
ikop	Adverb	just
repa	Verb	destroy
nuba		
kodai	Noun	centipede
porko	ProperNoun	Forogo
poim	Noun	sore
ku	Noun	stone
kaŋ	Noun	stick
yaj	Noun	lime,ashes
dugep	Adverb	afternoon
agɨsip	Noun	cloth
g	Verb	rpst
naba	Pronoun	2sg.emph
karkaka	Noun	bier
tamraka	Verb	cut.up
kege	Noun	ear
me	Verb	fpst
aik	Verb	3pl
mɨñ	Noun	vine
pai		side
kuwan	Noun	arrow
tɨŋre	Noun	bone
bada	Adjective	a.lot
kamoŋ	Noun	old.person
yuwe	Noun	seed,nephew
tapɨn pɨka	Adverb	always
bebe	Adverb	where
bɨj	Noun	charcoal
kain	Noun	dog
er		spin
kona	Determiner	here
yɨg	Noun	festival
koda	Adverb	thus
RED		very
jɨŋ	Noun	nail
negawan	Noun	baby
kera		fight
pa		
auna kome	Noun	forehead
sora	Noun	snake
pɨko	Adverb	also
abɨk		on.top
paka	Adverb	only
kubɨmɨŋ	Noun	ridge
yona	Adverb	now
kebraku	Noun	head
pɨcɨm	Noun	bean
gamgo	Adverb	downwards
sorma	Noun	snot
sa	Noun	child
tɨga	Adjective	different
pi		dawn
ti	Verb	become
kɨbaŋ	Noun	whole
konɨb	Noun	stomach
kuñɨk		spit
kɨrmo	Determiner	indf
aŋda	Adjective	left
ñɨn	Noun	day
igam	Adjective	yellow
rɨk	Verb	3sg
gaure		
eskome	Noun	knee
sukuma	Noun	forest
kar kɨñɨŋ	Noun	walking.stick
tukub	Noun	dirty
kokoi	Determiner	up.there
para	Verb	fight
ipur	Noun	meat
mumi	Noun	earthquake
taka	Verb	remove,write
apɨs	Noun	daughter-in-law
cɨ	Verb	prs
koŋan	Adverb	just
k	Verb	3sg
pɨka	Verb	slice
mokor	Noun	sorcerer
ebaŋda	Noun	left.arm
we	Particle	pres
kura	Noun	man
ika	Interjection	this
eb tɨŋre	Noun	arm
ayu	Pronoun	1pl
we	Noun	urine
mam		brother.1.poss
waya	Noun	comb
ka	Particle	top
pɨdɨŋ	Noun	middle
mɨŋiya	Verb	take
arpa	Noun	bat
takubo	Verb	extinguish
a		
kureda	Determiner	on.top
ada	Verb	do
kadɨko	Determiner	that
pokɨr	Noun	tail
so	Noun	place
kopiyak	Noun	rat
node	Noun	woman
poi	Noun	yam
e	Verb	3sg,3
areb	Noun	tongue
mora	Noun	tulip
okra	Noun	bird
krɨm	Adverb	night
waŋa	Noun	bag
be	Determiner	which
bo	Determiner	foc
bɨjog	Noun	shoulder
kobrV	Verb	break
nayañi	Pronoun	2du
akiya		wait
wera	Verb	scoot
kapora	Verb	unite
waŋ		aunt
tai	Noun	tree
saŋ	Particle	there
akar	Noun	chin
awe	Noun	time
agar	Noun	claw
tagroma	Verb	stand
sana	Noun	meat
RED	Verb	ptcp
mɨgo	Verb	descend
gobai	Noun	plant.sp
marasɨpe	Noun	chest
keraŋa	Adverb	quickly
pi	Noun	village
tor	Noun	mud
abɨsɨpa	ProperNoun	Ambispa
pa		sister-in-law
ami	Noun	mother
kusai	Adverb	first
aba mɨŋa	Verb	welcome
sabe	Noun	betelnut
sɨboisɨboi	ProperNoun	Simboysimboy
kañaka	Noun	navel
ai	Noun	sister
niraŋ	Pronoun	3pl.poss
kema	Noun	fence
wa	Verb	say,go
na		2.poss
kukɨs	Adjective	new
takun	Noun	moon
mo	Determiner	some
pub	Noun	sun
kra	Verb	roast
abɨpo	Noun	sky
niu	Pronoun	3pl
ro	Verb	break
arañi		
tɨbo	Verb	put.in,tie
aŋra	Verb	go
ayo	Interjection	yes
ebkamoŋ	Noun	thumb
ej	Noun	top.part
narañi		
komero	Adverb	slow
oŋai opɨr	Noun	animal
waja	Noun	branch
makakoŋ	Noun	jaw
yopar	Noun	banana
iga		
kada	Adverb	thus
ŋ		father
oraŋoraŋ		fight
kubog	Noun	ridge
modemej	Noun	nose
mɨre	Noun	cough
pakai	Adverb	again
ɨre	Verb	3sg.ds.irr,3sg.opt
wekara	Verb	close
magra	Verb	mingle
amimon		
medi	Verb	ss.delay
kapɨrkub	Noun	earth
aki	Noun	bamboo
nuduŋ	Pronoun	3sg.poss
sibai	ProperNoun	Simbai
wakai		
sapai	Noun	blood
ibana	Noun	fat
ko		nmlz
mdaŋ		cousin
yuwom	Noun	forest
sɨka	Noun	piece
yame	Noun	k.o.sugar
don	ProperNoun	Don
tauj	Noun	leaf
kamV	Verb	dawn
pɨke		grandmother
po	Noun	poop
kor	Noun	spine
akau	Noun	betelnut
iroi kub	Noun	butt.bone
bɨjog sɨpe	Noun	shoulder.blade
kokra	Verb	be.born
maka	Noun	log
